County,Predicted Turnout
"('berkeley', 'west virginia')",0.42103036844715425
"('denver', 'colorado')",0.3743473494490793
"('franklin', 'tennessee')",0.3883998111871607
"('durham', 'north carolina')",0.21952318512337585
"('platte', 'missouri')",0.47708719164382546
"('christian', 'kentucky')",0.5221304318624488
"('beaufort', 'south carolina')",0.3977315512048193
"('taylor', 'texas')",0.5219990200881921
"('tulsa', 'oklahoma')",0.35239453904367657
"('williamsburg', 'virginia')",0.3587805443860192
"('lancaster', 'virginia')",0.36151746211051494
"('hampton', 'south carolina')",0.5015619273660146
"('pasquotank', 'north carolina')",0.4219957579929374
"('clay', 'tennessee')",0.41584909943461945
"('tioga', 'pennsylvania')",0.46057793490851007
"('san juan', 'washington')",0.4691803941085745
"('denton', 'texas')",0.45934615372576354
"('albany', 'new york')",0.4996218805142425
"('san luis obispo', 'california')",0.5848278447791039
"('peoria', 'illinois')",0.5308818430753773
"('macomb', 'michigan')",0.43135528911822735
"('fillmore', 'minnesota')",0.5426767231439152
"('oglethorpe', 'georgia')",0.4432986943778311
"('pittsburg', 'oklahoma')",0.5477524055723108
"('dodge', 'minnesota')",0.519927987667096
"('stutsman', 'north dakota')",0.5293249360362133
"('wyoming', 'west virginia')",0.48897556203458775
"('santa cruz', 'california')",0.3693783592880217
"('essex', 'massachusetts')",0.41746375293816473
"('douglas', 'kansas')",0.5588569800377176
"('pine', 'minnesota')",0.40632905350579923
"('bamberg', 'south carolina')",0.4533893493811741
"('monroe', 'alabama')",0.40796673232654845
"('district 40', 'alaska')",0.5051885550526071
"('las animas', 'colorado')",0.5303277284456798
"('clare', 'michigan')",0.4614432721115019
"('le sueur', 'minnesota')",0.43088350815581533
"('woodward', 'oklahoma')",0.4712314939434724
"('klamath', 'oregon')",0.476775956284153
"('austin', 'texas')",0.38327076733524224
"('wyandotte', 'kansas')",0.3048327137546468
"('montezuma', 'colorado')",0.38256726457399104
"('somerset', 'new jersey')",0.504220346512661
"('dekalb', 'indiana')",0.4205845907136089
"('eau claire', 'wisconsin')",0.4820424383294594
"('montgomery', 'texas')",0.4385279270477121
"('coke', 'texas')",0.4287850249519408
"('collier', 'florida')",0.2602691426220838
"('erie', 'new york')",0.4197711224738252
"('pitkin', 'colorado')",0.5148954775888351
"('cedar', 'iowa')",0.41584909943461945
"('knox', 'illinois')",0.5831862012766535
"('petersburg', 'virginia')",0.5844510680576255
"('pottawatomie', 'oklahoma')",0.5008138903960934
"('calvert', 'maryland')",0.5106760723416344
"('falls', 'texas')",0.3815232722143865
"('st. lawrence', 'new york')",0.46567929364853317
"('petroleum', 'montana')",0.3477143869596031
"('yellow medicine', 'minnesota')",0.4712314939434724
"('hunt', 'texas')",0.4233289842683823
"('marinette', 'wisconsin')",0.4485279187817259
"('campbell', 'tennessee')",0.29672534922180127
"('gulf', 'florida')",0.41556324013319934
"('monroe', 'new york')",0.5151165061181984
"('seminole', 'florida')",0.26951412850881284
"('catawba', 'north carolina')",0.43773635379807635
"('alexander', 'illinois')",0.5015619273660146
"('dekalb', 'georgia')",0.5315446695120368
"('mclennan', 'texas')",0.3097208498023715
"('jefferson', 'colorado')",0.400419776119403
"('valley', 'nebraska')",0.5089959394816923
"('fayette', 'kentucky')",0.3733784426706137
"('rosebud', 'montana')",0.4033723714857462
"('westmoreland', 'virginia')",0.39715518619146556
"('augusta', 'virginia')",0.5927667304015296
"('randolph', 'missouri')",0.39216111400585396
"('etowah', 'alabama')",0.35471487401409924
"('blue earth', 'minnesota')",0.5080359402682865
"('ashland', 'wisconsin')",0.4611071555713777
"('glenn', 'california')",0.40632905350579923
"('pinellas', 'florida')",0.33680323243722543
"('faulkner', 'arkansas')",0.6645702306079665
"('marshall', 'alabama')",0.444554877367487
