state,county,candidate,total votes,turnout rate
california,san benito,Hillary Clinton,21924,0.3765974989693555
california,san bernardino,Hillary Clinton,653983,0.30915174403461076
california,san diego,Hillary Clinton,1306400,0.3981894935763598
california,san francisco,Hillary Clinton,405792,0.470205443737616
california,san joaquin,Hillary Clinton,224166,0.3103627308863294
california,san luis obispo,Hillary Clinton,135009,0.4820424383294594
california,san mateo,Hillary Clinton,314384,0.41092993314206167
california,santa barbara,Hillary Clinton,176786,0.39976120969000223
california,santa clara,Hillary Clinton,703709,0.3672256475419888
california,santa cruz,Hillary Clinton,128821,0.4710039743622556
california,shasta,Hillary Clinton,80053,0.4489439976670368
california,sierra,Hillary Clinton,1830,0.6130653266331658
california,siskiyou,Hillary Clinton,20492,0.47375965228649375
california,solano,Hillary Clinton,166113,0.38327076733524224
california,sonoma,Hillary Clinton,231253,0.46170909011046934
california,stanislaus,Hillary Clinton,172146,0.3228478032148624
california,sutter,Hillary Clinton,33523,0.3518293066896161
california,tehama,Hillary Clinton,23908,0.37854270242882926
california,trinity,Hillary Clinton,5686,0.43424469222544676
california,tulare,Hillary Clinton,112334,0.2457208729528547
california,tuolumne,Hillary Clinton,25529,0.4761540613634244
california,ventura,Hillary Clinton,351726,0.41584909943461945
california,yolo,Hillary Clinton,82090,0.3871494126025175
california,yuba,Hillary Clinton,22998,0.3105949085015869
colorado,adams,Hillary Clinton,193665,0.3948776922088805
colorado,alamosa,Hillary Clinton,6939,0.4365798414496036
colorado,arapahoe,Hillary Clinton,303046,0.4802752526213026
colorado,archuleta,Hillary Clinton,7339,0.5924759828852829
colorado,baca,Hillary Clinton,2153,0.6056258790436005
colorado,bent,Hillary Clinton,1927,0.3272202411275259
colorado,boulder,Hillary Clinton,188142,0.5915912799856616
colorado,broomfield,Hillary Clinton,37689,0.581028581999815
colorado,chaffee,Hillary Clinton,11250,0.6044487427466151
colorado,cheyenne,Hillary Clinton,1102,0.6031746031746031
colorado,clear creek,Hillary Clinton,5866,0.6345737775854609
colorado,conejos,Hillary Clinton,4022,0.4986980781153131
colorado,costilla,Hillary Clinton,1848,0.5167785234899329
colorado,crowley,Hillary Clinton,1527,0.27132196162046907
colorado,custer,Hillary Clinton,3066,0.6914749661705006
colorado,delta,Hillary Clinton,16790,0.5612944204860763
colorado,denver,Hillary Clinton,331852,0.48567142553985526
colorado,dolores,Hillary Clinton,1255,0.6335184250378597
colorado,douglas,Hillary Clinton,187499,0.5822498253241208
colorado,eagle,Hillary Clinton,25223,0.46826325071939107
colorado,elbert,Hillary Clinton,15978,0.648721071863581
colorado,el paso,Hillary Clinton,318967,0.4732441049790727
colorado,fremont,Hillary Clinton,21973,0.4747634069400631
colorado,garfield,Hillary Clinton,26470,0.45876806821726923
colorado,gilpin,Hillary Clinton,3576,0.6160206718346253
colorado,grand,Hillary Clinton,8588,0.5831862012766535
colorado,gunnison,Hillary Clinton,9412,0.5844510680576255
colorado,hinsdale,Hillary Clinton,589,0.7709424083769634
colorado,huerfano,Hillary Clinton,3783,0.5907245471580262
colorado,jackson,Hillary Clinton,861,0.6363636363636364
colorado,jefferson,Hillary Clinton,328882,0.5822074464318591
colorado,kiowa,Hillary Clinton,855,0.6177745664739884
colorado,kit carson,Hillary Clinton,3702,0.4506390748630554
