state,county,candidate,total votes
georgia,coffee,Donald Trump,15214
georgia,colquitt,Donald Trump,16086
georgia,columbia,Donald Trump,80575
georgia,cook,Donald Trump,7035
georgia,coweta,Donald Trump,76799
georgia,crawford,Donald Trump,6102
georgia,crisp,Donald Trump,8033
georgia,dade,Donald Trump,7434
georgia,dawson,Donald Trump,16081
georgia,decatur,Donald Trump,11625
georgia,dekalb,Joe Biden,370746
georgia,dodge,Donald Trump,8071
georgia,dooly,Donald Trump,4105
georgia,dougherty,Joe Biden,35287
georgia,douglas,Joe Biden,69106
georgia,early,Donald Trump,5188
georgia,echols,Donald Trump,1441
georgia,effingham,Donald Trump,31571
georgia,elbert,Donald Trump,9171
georgia,emanuel,Donald Trump,9505
georgia,evans,Donald Trump,4247
georgia,fannin,Donald Trump,14849
georgia,fayette,Donald Trump,71994
georgia,floyd,Donald Trump,41341
georgia,forsyth,Donald Trump,129311
georgia,franklin,Donald Trump,10765
georgia,fulton,Joe Biden,523779
georgia,gilmer,Donald Trump,16525
georgia,glascock,Donald Trump,1565
georgia,glynn,Donald Trump,41988
georgia,gordon,Donald Trump,24033
georgia,grady,Donald Trump,10707
georgia,greene,Donald Trump,11244
georgia,gwinnett,Joe Biden,414023
georgia,habersham,Donald Trump,20431
georgia,hall,Donald Trump,90537
georgia,hancock,Joe Biden,4153
georgia,haralson,Donald Trump,14246
georgia,harris,Donald Trump,19991
georgia,hart,Donald Trump,12728
georgia,heard,Donald Trump,5394
georgia,henry,Joe Biden,122998
georgia,houston,Donald Trump,74838
georgia,irwin,Donald Trump,4168
georgia,jackson,Donald Trump,37675
georgia,jasper,Donald Trump,7644
georgia,jeff davis,Donald Trump,5771
georgia,jefferson,Joe Biden,7639
georgia,jenkins,Donald Trump,3455
georgia,johnson,Donald Trump,4100
georgia,jones,Donald Trump,14934
georgia,lamar,Donald Trump,9045
georgia,lanier,Donald Trump,3576
georgia,laurens,Donald Trump,22731
georgia,lee,Donald Trump,16714
georgia,liberty,Joe Biden,21394
georgia,lincoln,Donald Trump,4641
georgia,long,Donald Trump,5657
georgia,lowndes,Donald Trump,46355
georgia,lumpkin,Donald Trump,15531
georgia,macon,Joe Biden,4663
georgia,madison,Donald Trump,14937
georgia,marion,Donald Trump,3625
georgia,mcduffie,Donald Trump,10455
georgia,mcintosh,Donald Trump,6696
georgia,meriwether,Donald Trump,10877
georgia,miller,Donald Trump,2834
georgia,mitchell,Donald Trump,8962
georgia,monroe,Donald Trump,15590
georgia,montgomery,Donald Trump,3967
georgia,morgan,Donald Trump,11706
georgia,murray,Donald Trump,15389
georgia,muscogee,Joe Biden,80514
georgia,newton,Joe Biden,54234
georgia,oconee,Donald Trump,25168
georgia,oglethorpe,Donald Trump,8133
georgia,paulding,Donald Trump,85372
georgia,peach,Donald Trump,12553
georgia,pickens,Donald Trump,17167
georgia,pierce,Donald Trump,9047
georgia,pike,Donald Trump,10720
georgia,polk,Donald Trump,17396
georgia,pulaski,Donald Trump,4081
georgia,putnam,Donald Trump,11855
georgia,quitman,Donald Trump,1106
georgia,rabun,Donald Trump,9568
georgia,randolph,Joe Biden,3073
georgia,richmond,Joe Biden,87009
georgia,rockdale,Joe Biden,44681
georgia,schley,Donald Trump,2275
georgia,screven,Donald Trump,6627
georgia,seminole,Donald Trump,3888
georgia,spalding,Donald Trump,30211
georgia,stephens,Donald Trump,11885
georgia,stewart,Joe Biden,1990
georgia,sumter,Joe Biden,12148
georgia,talbot,Joe Biden,3522
georgia,taliaferro,Joe Biden,928
georgia,tattnall,Donald Trump,8185
georgia,taylor,Donald Trump,3842
georgia,telfair,Donald Trump,4334
georgia,terrell,Joe Biden,4416
georgia,thomas,Donald Trump,21872
georgia,tift,Donald Trump,16279
georgia,toombs,Donald Trump,10914
