state,county,candidate,party,candidate votes,total votes
nebraska,sheridan,Hillary Clinton,democrat,287,2608
nebraska,sheridan,Donald Trump,republican,2211,2608
nebraska,sheridan,Other,NA,110,2608
nebraska,sherman,Hillary Clinton,democrat,340,1573
nebraska,sherman,Donald Trump,republican,1150,1573
nebraska,sherman,Other,NA,83,1573
nebraska,sioux,Hillary Clinton,democrat,81,736
nebraska,sioux,Donald Trump,republican,616,736
nebraska,sioux,Other,NA,39,736
nebraska,stanton,Hillary Clinton,democrat,417,2801
nebraska,stanton,Donald Trump,republican,2187,2801
nebraska,stanton,Other,NA,197,2801
nebraska,thayer,Hillary Clinton,democrat,499,2690
nebraska,thayer,Donald Trump,republican,2051,2690
nebraska,thayer,Other,NA,140,2690
nebraska,thomas,Hillary Clinton,democrat,30,393
nebraska,thomas,Donald Trump,republican,344,393
nebraska,thomas,Other,NA,19,393
nebraska,thurston,Hillary Clinton,democrat,919,2088
nebraska,thurston,Donald Trump,republican,1043,2088
nebraska,thurston,Other,NA,126,2088
nebraska,valley,Hillary Clinton,democrat,339,2205
nebraska,valley,Donald Trump,republican,1780,2205
nebraska,valley,Other,NA,86,2205
nebraska,washington,Hillary Clinton,democrat,2623,10832
nebraska,washington,Donald Trump,republican,7424,10832
nebraska,washington,Other,NA,785,10832
nebraska,wayne,Hillary Clinton,democrat,835,3776
nebraska,wayne,Donald Trump,republican,2693,3776
nebraska,wayne,Other,NA,248,3776
nebraska,webster,Hillary Clinton,democrat,306,1708
nebraska,webster,Donald Trump,republican,1330,1708
nebraska,webster,Other,NA,72,1708
nebraska,wheeler,Hillary Clinton,democrat,62,465
nebraska,wheeler,Donald Trump,republican,377,465
nebraska,wheeler,Other,NA,26,465
nebraska,york,Hillary Clinton,democrat,1186,6381
nebraska,york,Donald Trump,republican,4700,6381
nebraska,york,Other,NA,495,6381
nevada,churchill,Hillary Clinton,democrat,2210,10938
nevada,churchill,Donald Trump,republican,7830,10938
nevada,churchill,Other,NA,898,10938
nevada,clark,Hillary Clinton,democrat,402227,767156
nevada,clark,Donald Trump,republican,320057,767156
nevada,clark,Other,NA,44872,767156
nevada,douglas,Hillary Clinton,democrat,8454,27885
nevada,douglas,Donald Trump,republican,17415,27885
nevada,douglas,Other,NA,2016,27885
nevada,elko,Hillary Clinton,democrat,3401,18559
nevada,elko,Donald Trump,republican,13551,18559
nevada,elko,Other,NA,1607,18559
nevada,esmeralda,Hillary Clinton,democrat,65,423
nevada,esmeralda,Donald Trump,republican,329,423
nevada,esmeralda,Other,NA,29,423
nevada,eureka,Hillary Clinton,democrat,74,854
nevada,eureka,Donald Trump,republican,723,854
nevada,eureka,Other,NA,57,854
nevada,humboldt,Hillary Clinton,democrat,1386,6433
nevada,humboldt,Donald Trump,republican,4521,6433
nevada,humboldt,Other,NA,526,6433
nevada,lander,Hillary Clinton,democrat,403,2413
nevada,lander,Donald Trump,republican,1828,2413
nevada,lander,Other,NA,182,2413
nevada,lincoln,Hillary Clinton,democrat,285,2132
nevada,lincoln,Donald Trump,republican,1671,2132
nevada,lincoln,Other,NA,176,2132
nevada,lyon,Hillary Clinton,democrat,6146,23762
nevada,lyon,Donald Trump,republican,16005,23762
nevada,lyon,Other,NA,1611,23762
nevada,mineral,Hillary Clinton,democrat,637,1997
nevada,mineral,Donald Trump,republican,1179,1997
nevada,mineral,Other,NA,181,1997
nevada,nye,Hillary Clinton,democrat,5094,19595
nevada,nye,Donald Trump,republican,13324,19595
nevada,nye,Other,NA,1177,19595
nevada,pershing,Hillary Clinton,democrat,430,1982
nevada,pershing,Donald Trump,republican,1403,1982
nevada,pershing,Other,NA,149,1982
nevada,storey,Hillary Clinton,democrat,752,2558
nevada,storey,Donald Trump,republican,1616,2558
nevada,storey,Other,NA,190,2558
nevada,washoe,Hillary Clinton,democrat,97379,209909
nevada,washoe,Donald Trump,republican,94758,209909
nevada,washoe,Other,NA,17772,209909
nevada,white pine,Hillary Clinton,democrat,707,3773
nevada,white pine,Donald Trump,republican,2723,3773
nevada,white pine,Other,NA,343,3773
nevada,carson city,Hillary Clinton,democrat,9610,25016
nevada,carson city,Donald Trump,republican,13125,25016
nevada,carson city,Other,NA,2281,25016
new hampshire,belknap,Hillary Clinton,democrat,13517,35045
new hampshire,belknap,Donald Trump,republican,19315,35045
new hampshire,belknap,Other,NA,2213,35045
new hampshire,carroll,Hillary Clinton,democrat,12987,29616
new hampshire,carroll,Donald Trump,republican,14635,29616
new hampshire,carroll,Other,NA,1994,29616
new hampshire,cheshire,Hillary Clinton,democrat,22064,41895
new hampshire,cheshire,Donald Trump,republican,16876,41895
new hampshire,cheshire,Other,NA,2955,41895
new hampshire,coos,Hillary Clinton,democrat,6563,15627
new hampshire,coos,Donald Trump,republican,7952,15627
new hampshire,coos,Other,NA,1112,15627
new hampshire,grafton,Hillary Clinton,democrat,28510,51191
new hampshire,grafton,Donald Trump,republican,19010,51191
new hampshire,grafton,Other,NA,3671,51191
new hampshire,hillsborough,Hillary Clinton,democrat,99589,214157
new hampshire,hillsborough,Donald Trump,republican,100013,214157
new hampshire,hillsborough,Other,NA,14555,214157
new hampshire,merrimack,Hillary Clinton,democrat,40198,83648
new hampshire,merrimack,Donald Trump,republican,37674,83648
new hampshire,merrimack,Other,NA,5776,83648
new hampshire,rockingham,Hillary Clinton,democrat,79994,181434
new hampshire,rockingham,Donald Trump,republican,90447,181434
new hampshire,rockingham,Other,NA,10993,181434
new hampshire,strafford,Hillary Clinton,democrat,34894,69000
new hampshire,strafford,Donald Trump,republican,29072,69000
new hampshire,strafford,Other,NA,5034,69000
new hampshire,sullivan,Hillary Clinton,democrat,10210,22683
new hampshire,sullivan,Donald Trump,republican,10796,22683
new hampshire,sullivan,Other,NA,1677,22683
new jersey,atlantic,Hillary Clinton,democrat,60924,117291
new jersey,atlantic,Donald Trump,republican,52690,117291
new jersey,atlantic,Other,NA,3677,117291
new jersey,bergen,Hillary Clinton,democrat,231211,419296
new jersey,bergen,Donald Trump,republican,175529,419296
new jersey,bergen,Other,NA,12556,419296
new jersey,burlington,Hillary Clinton,democrat,121725,218943
new jersey,burlington,Donald Trump,republican,89272,218943
new jersey,burlington,Other,NA,7946,218943
new jersey,camden,Hillary Clinton,democrat,146717,226592
new jersey,camden,Donald Trump,republican,72631,226592
new jersey,camden,Other,NA,7244,226592
new jersey,cape may,Hillary Clinton,democrat,18750,48722
new jersey,cape may,Donald Trump,republican,28446,48722
new jersey,cape may,Other,NA,1526,48722
new jersey,cumberland,Hillary Clinton,democrat,27771,54004
new jersey,cumberland,Donald Trump,republican,24453,54004
new jersey,cumberland,Other,NA,1780,54004
new jersey,essex,Hillary Clinton,democrat,240837,310934
new jersey,essex,Donald Trump,republican,63176,310934
new jersey,essex,Other,NA,6921,310934
new jersey,gloucester,Hillary Clinton,democrat,66870,139542
new jersey,gloucester,Donald Trump,republican,67544,139542
new jersey,gloucester,Other,NA,5128,139542
new jersey,hudson,Hillary Clinton,democrat,163917,219375
new jersey,hudson,Donald Trump,republican,49043,219375
new jersey,hudson,Other,NA,6415,219375
new jersey,hunterdon,Hillary Clinton,democrat,28898,70836
new jersey,hunterdon,Donald Trump,republican,38712,70836
new jersey,hunterdon,Other,NA,3226,70836
new jersey,mercer,Hillary Clinton,democrat,104775,156529
new jersey,mercer,Donald Trump,republican,46193,156529
new jersey,mercer,Other,NA,5561,156529
new jersey,middlesex,Hillary Clinton,democrat,193044,326102
new jersey,middlesex,Donald Trump,republican,122953,326102
new jersey,middlesex,Other,NA,10105,326102
new jersey,monmouth,Hillary Clinton,democrat,137181,314377
new jersey,monmouth,Donald Trump,republican,166723,314377
new jersey,monmouth,Other,NA,10473,314377
new jersey,morris,Hillary Clinton,democrat,115249,250416
new jersey,morris,Donald Trump,republican,126071,250416
new jersey,morris,Other,NA,9096,250416
new jersey,ocean,Hillary Clinton,democrat,87150,274362
new jersey,ocean,Donald Trump,republican,179079,274362
new jersey,ocean,Other,NA,8133,274362
new jersey,passaic,Hillary Clinton,democrat,116759,194802
new jersey,passaic,Donald Trump,republican,72902,194802
new jersey,passaic,Other,NA,5141,194802
new jersey,salem,Hillary Clinton,democrat,11904,29494
new jersey,salem,Donald Trump,republican,16381,29494
new jersey,salem,Other,NA,1209,29494
new jersey,somerset,Hillary Clinton,democrat,85689,157092
new jersey,somerset,Donald Trump,republican,65505,157092
new jersey,somerset,Other,NA,5898,157092
new jersey,sussex,Hillary Clinton,democrat,24212,74126
new jersey,sussex,Donald Trump,republican,46658,74126
new jersey,sussex,Other,NA,3256,74126
new jersey,union,Hillary Clinton,democrat,147414,221975
new jersey,union,Donald Trump,republican,68114,221975
new jersey,union,Other,NA,6447,221975
new jersey,warren,Hillary Clinton,democrat,17281,49236
new jersey,warren,Donald Trump,republican,29858,49236
new jersey,warren,Other,NA,2097,49236
new mexico,bernalillo,Hillary Clinton,democrat,143417,274662
new mexico,bernalillo,Donald Trump,republican,94698,274662
new mexico,bernalillo,Other,NA,36547,274662
new mexico,catron,Hillary Clinton,democrat,427,2049
new mexico,catron,Donald Trump,republican,1464,2049
new mexico,catron,Other,NA,158,2049
new mexico,chaves,Hillary Clinton,democrat,5534,20271
new mexico,chaves,Donald Trump,republican,12872,20271
new mexico,chaves,Other,NA,1865,20271
new mexico,cibola,Hillary Clinton,democrat,3741,8063
new mexico,cibola,Donald Trump,republican,3195,8063
new mexico,cibola,Other,NA,1127,8063
new mexico,colfax,Hillary Clinton,democrat,2129,5332
new mexico,colfax,Donald Trump,republican,2585,5332
new mexico,colfax,Other,NA,618,5332
new mexico,curry,Hillary Clinton,democrat,3121,13370
new mexico,curry,Donald Trump,republican,9035,13370
new mexico,curry,Other,NA,1214,13370
new mexico,de baca,Hillary Clinton,democrat,193,910
new mexico,de baca,Donald Trump,republican,620,910
new mexico,de baca,Other,NA,97,910
new mexico,dona ana,Hillary Clinton,democrat,37947,70648
new mexico,dona ana,Donald Trump,republican,25374,70648
new mexico,dona ana,Other,NA,7327,70648
new mexico,eddy,Hillary Clinton,democrat,5033,19667
new mexico,eddy,Donald Trump,republican,13147,19667
new mexico,eddy,Other,NA,1487,19667
new mexico,grant,Hillary Clinton,democrat,6276,12811
new mexico,grant,Donald Trump,republican,5288,12811
new mexico,grant,Other,NA,1247,12811
new mexico,guadalupe,Hillary Clinton,democrat,970,1827
new mexico,guadalupe,Donald Trump,republican,595,1827
new mexico,guadalupe,Other,NA,262,1827
new mexico,harding,Hillary Clinton,democrat,156,527
new mexico,harding,Donald Trump,republican,311,527
new mexico,harding,Other,NA,60,527
new mexico,hidalgo,Hillary Clinton,democrat,784,1872
new mexico,hidalgo,Donald Trump,republican,910,1872
new mexico,hidalgo,Other,NA,178,1872
new mexico,lea,Hillary Clinton,democrat,3930,17712
new mexico,lea,Donald Trump,republican,12495,17712
new mexico,lea,Other,NA,1287,17712
new mexico,lincoln,Hillary Clinton,democrat,2331,8902
new mexico,lincoln,Donald Trump,republican,5896,8902
new mexico,lincoln,Other,NA,675,8902
new mexico,los alamos,Hillary Clinton,democrat,5562,10885
new mexico,los alamos,Donald Trump,republican,3359,10885
new mexico,los alamos,Other,NA,1964,10885
new mexico,luna,Hillary Clinton,democrat,3195,7295
new mexico,luna,Donald Trump,republican,3478,7295
new mexico,luna,Other,NA,622,7295
new mexico,mckinley,Hillary Clinton,democrat,13576,21703
new mexico,mckinley,Donald Trump,republican,5104,21703
new mexico,mckinley,Other,NA,3023,21703
new mexico,mora,Hillary Clinton,democrat,1536,2441
new mexico,mora,Donald Trump,republican,665,2441
new mexico,mora,Other,NA,240,2441
new mexico,otero,Hillary Clinton,democrat,6124,20060
new mexico,otero,Donald Trump,republican,11887,20060
new mexico,otero,Other,NA,2049,20060
new mexico,quay,Hillary Clinton,democrat,1017,3572
new mexico,quay,Donald Trump,republican,2212,3572
new mexico,quay,Other,NA,343,3572
new mexico,rio arriba,Hillary Clinton,democrat,9592,14878
new mexico,rio arriba,Donald Trump,republican,3599,14878
new mexico,rio arriba,Other,NA,1687,14878
new mexico,roosevelt,Hillary Clinton,democrat,1454,5950
new mexico,roosevelt,Donald Trump,republican,3884,5950
new mexico,roosevelt,Other,NA,612,5950
new mexico,sandoval,Hillary Clinton,democrat,27707,61690
new mexico,sandoval,Donald Trump,republican,25905,61690
new mexico,sandoval,Other,NA,8078,61690
new mexico,san juan,Hillary Clinton,democrat,12865,46110
new mexico,san juan,Donald Trump,republican,27946,46110
new mexico,san juan,Other,NA,5299,46110
new mexico,san miguel,Hillary Clinton,democrat,7285,10751
new mexico,san miguel,Donald Trump,republican,2313,10751
new mexico,san miguel,Other,NA,1153,10751
new mexico,santa fe,Hillary Clinton,democrat,50793,71434
new mexico,santa fe,Donald Trump,republican,14332,71434
new mexico,santa fe,Other,NA,6309,71434
new mexico,sierra,Hillary Clinton,democrat,1612,5181
new mexico,sierra,Donald Trump,republican,3010,5181
new mexico,sierra,Other,NA,559,5181
new mexico,socorro,Hillary Clinton,democrat,3313,6868
new mexico,socorro,Donald Trump,republican,2616,6868
new mexico,socorro,Other,NA,939,6868
new mexico,taos,Hillary Clinton,democrat,10668,15260
new mexico,taos,Donald Trump,republican,2727,15260
new mexico,taos,Other,NA,1865,15260
new mexico,torrance,Hillary Clinton,democrat,1785,6324
new mexico,torrance,Donald Trump,republican,3714,6324
new mexico,torrance,Other,NA,825,6324
new mexico,union,Hillary Clinton,democrat,320,1702
new mexico,union,Donald Trump,republican,1216,1702
new mexico,union,Other,NA,166,1702
new mexico,valencia,Hillary Clinton,democrat,10841,27592
new mexico,valencia,Donald Trump,republican,13215,27592
new mexico,valencia,Other,NA,3536,27592
missouri,kansas city,Hillary Clinton,democrat,97735,128601
missouri,kansas city,Donald Trump,republican,24654,128601
missouri,kansas city,Other,NA,6212,128601
new york,albany,Hillary Clinton,democrat,83077,139830
new york,albany,Donald Trump,republican,47810,139830
new york,albany,Other,NA,8943,139830
new york,allegany,Hillary Clinton,democrat,4882,18692
new york,allegany,Donald Trump,republican,12525,18692
new york,allegany,Other,NA,1285,18692
new york,bronx,Hillary Clinton,democrat,353646,399522
new york,bronx,Donald Trump,republican,37797,399522
new york,bronx,Other,NA,8079,399522
new york,broome,Hillary Clinton,democrat,39212,86072
new york,broome,Donald Trump,republican,40943,86072
new york,broome,Other,NA,5917,86072
new york,cattaraugus,Hillary Clinton,democrat,9497,31161
new york,cattaraugus,Donald Trump,republican,19692,31161
new york,cattaraugus,Other,NA,1972,31161
new york,cayuga,Hillary Clinton,democrat,13522,33172
new york,cayuga,Donald Trump,republican,17384,33172
new york,cayuga,Other,NA,2266,33172
new york,chautauqua,Hillary Clinton,democrat,19091,54234
new york,chautauqua,Donald Trump,republican,31594,54234
new york,chautauqua,Other,NA,3549,54234
new york,chemung,Hillary Clinton,democrat,13757,36119
new york,chemung,Donald Trump,republican,20097,36119
new york,chemung,Other,NA,2265,36119
new york,chenango,Hillary Clinton,democrat,6775,20160
new york,chenango,Donald Trump,republican,11921,20160
new york,chenango,Other,NA,1464,20160
new york,clinton,Hillary Clinton,democrat,15059,32105
new york,clinton,Donald Trump,republican,14449,32105
new york,clinton,Other,NA,2597,32105
new york,columbia,Hillary Clinton,democrat,15284,30902
new york,columbia,Donald Trump,republican,13756,30902
new york,columbia,Other,NA,1862,30902
new york,cortland,Hillary Clinton,democrat,8771,20244
new york,cortland,Donald Trump,republican,9900,20244
new york,cortland,Other,NA,1573,20244
new york,delaware,Hillary Clinton,democrat,6627,19792
new york,delaware,Donald Trump,republican,11942,19792
new york,delaware,Other,NA,1223,19792
new york,dutchess,Hillary Clinton,democrat,62261,130934
new york,dutchess,Donald Trump,republican,61797,130934
new york,dutchess,Other,NA,6876,130934
new york,erie,Hillary Clinton,democrat,215456,423625
new york,erie,Donald Trump,republican,188303,423625
new york,erie,Other,NA,19866,423625
new york,essex,Hillary Clinton,democrat,7762,17218
new york,essex,Donald Trump,republican,7958,17218
new york,essex,Other,NA,1498,17218
new york,franklin,Hillary Clinton,democrat,7297,16952
new york,franklin,Donald Trump,republican,8221,16952
new york,franklin,Other,NA,1434,16952
new york,fulton,Hillary Clinton,democrat,6496,21214
new york,fulton,Donald Trump,republican,13462,21214
new york,fulton,Other,NA,1256,21214
new york,genesee,Hillary Clinton,democrat,7650,26432
new york,genesee,Donald Trump,republican,16915,26432
new york,genesee,Other,NA,1867,26432
new york,greene,Hillary Clinton,democrat,7405,22050
new york,greene,Donald Trump,republican,13073,22050
new york,greene,Other,NA,1572,22050
new york,hamilton,Hillary Clinton,democrat,949,3225
new york,hamilton,Donald Trump,republican,2064,3225
new york,hamilton,Other,NA,212,3225
new york,herkimer,Hillary Clinton,democrat,8083,26255
new york,herkimer,Donald Trump,republican,16699,26255
new york,herkimer,Other,NA,1473,26255
new york,jefferson,Hillary Clinton,democrat,13809,38236
new york,jefferson,Donald Trump,republican,21763,38236
new york,jefferson,Other,NA,2664,38236
new york,kings,Hillary Clinton,democrat,640553,805605
new york,kings,Donald Trump,republican,141044,805605
new york,kings,Other,NA,24008,805605
new york,lewis,Hillary Clinton,democrat,3146,11325
new york,lewis,Donald Trump,republican,7400,11325
new york,lewis,Other,NA,779,11325
new york,livingston,Hillary Clinton,democrat,10697,30031
new york,livingston,Donald Trump,republican,17290,30031
new york,livingston,Other,NA,2044,30031
new york,madison,Hillary Clinton,democrat,11667,30064
new york,madison,Donald Trump,republican,15936,30064
new york,madison,Other,NA,2461,30064
new york,monroe,Hillary Clinton,democrat,188592,347790
new york,monroe,Donald Trump,republican,136582,347790
new york,monroe,Other,NA,22616,347790
new york,montgomery,Hillary Clinton,democrat,6595,19054
new york,montgomery,Donald Trump,republican,11301,19054
new york,montgomery,Other,NA,1158,19054
new york,nassau,Hillary Clinton,democrat,326088,636967
new york,nassau,Donald Trump,republican,288313,636967
new york,nassau,Other,NA,22566,636967
new york,new york,Hillary Clinton,democrat,579013,668939
new york,new york,Donald Trump,republican,64929,668939
new york,new york,Other,NA,24997,668939
new york,niagara,Hillary Clinton,democrat,35559,92402
new york,niagara,Donald Trump,republican,51961,92402
new york,niagara,Other,NA,4882,92402
new york,oneida,Hillary Clinton,democrat,33743,91009
new york,oneida,Donald Trump,republican,51437,91009
new york,oneida,Other,NA,5829,91009
new york,onondaga,Hillary Clinton,democrat,112337,208440
new york,onondaga,Donald Trump,republican,83649,208440
new york,onondaga,Other,NA,12454,208440
new york,ontario,Hillary Clinton,democrat,22233,52258
new york,ontario,Donald Trump,republican,26029,52258
new york,ontario,Other,NA,3996,52258
new york,orange,Hillary Clinton,democrat,68278,152021
new york,orange,Donald Trump,republican,76645,152021
new york,orange,Other,NA,7098,152021
new york,orleans,Hillary Clinton,democrat,4470,16380
new york,orleans,Donald Trump,republican,10936,16380
new york,orleans,Other,NA,974,16380
new york,oswego,Hillary Clinton,democrat,17095,48180
new york,oswego,Donald Trump,republican,27688,48180
new york,oswego,Other,NA,3397,48180
new york,otsego,Hillary Clinton,democrat,10451,25668
new york,otsego,Donald Trump,republican,13308,25668
new york,otsego,Other,NA,1909,25668
new york,putnam,Hillary Clinton,democrat,19366,48563
new york,putnam,Donald Trump,republican,27024,48563
new york,putnam,Other,NA,2173,48563
new york,queens,Hillary Clinton,democrat,517220,686393
new york,queens,Donald Trump,republican,149341,686393
new york,queens,Other,NA,19832,686393
new york,rensselaer,Hillary Clinton,democrat,32717,71562
new york,rensselaer,Donald Trump,republican,33726,71562
new york,rensselaer,Other,NA,5119,71562
new york,richmond,Hillary Clinton,democrat,74143,180960
new york,richmond,Donald Trump,republican,101437,180960
new york,richmond,Other,NA,5380,180960
new york,rockland,Hillary Clinton,democrat,69342,135087
new york,rockland,Donald Trump,republican,60911,135087
new york,rockland,Other,NA,4834,135087
new york,st. lawrence,Hillary Clinton,democrat,16488,39158
new york,st. lawrence,Donald Trump,republican,19942,39158
new york,st. lawrence,Other,NA,2728,39158
new york,saratoga,Hillary Clinton,democrat,50913,114094
new york,saratoga,Donald Trump,republican,54575,114094
new york,saratoga,Other,NA,8606,114094
new york,schenectady,Hillary Clinton,democrat,33747,67280
new york,schenectady,Donald Trump,republican,28953,67280
new york,schenectady,Other,NA,4580,67280
new york,schoharie,Hillary Clinton,democrat,4240,14050
new york,schoharie,Donald Trump,republican,8831,14050
new york,schoharie,Other,NA,979,14050
new york,schuyler,Hillary Clinton,democrat,3091,8772
new york,schuyler,Donald Trump,republican,5050,8772
new york,schuyler,Other,NA,631,8772
new york,seneca,Hillary Clinton,democrat,5697,13980
new york,seneca,Donald Trump,republican,7236,13980
new york,seneca,Other,NA,1047,13980
new york,steuben,Hillary Clinton,democrat,12526,42002
new york,steuben,Donald Trump,republican,26831,42002
new york,steuben,Other,NA,2645,42002
new york,suffolk,Hillary Clinton,democrat,303951,681254
new york,suffolk,Donald Trump,republican,350570,681254
new york,suffolk,Other,NA,26733,681254
new york,sullivan,Hillary Clinton,democrat,12568,29955
new york,sullivan,Donald Trump,republican,15931,29955
new york,sullivan,Other,NA,1456,29955
new york,tioga,Hillary Clinton,democrat,7526,22299
new york,tioga,Donald Trump,republican,13260,22299
new york,tioga,Other,NA,1513,22299
new york,tompkins,Hillary Clinton,democrat,28890,42678
new york,tompkins,Donald Trump,republican,10371,42678
new york,tompkins,Other,NA,3417,42678
new york,ulster,Hillary Clinton,democrat,42101,81355
new york,ulster,Donald Trump,republican,34006,81355
new york,ulster,Other,NA,5248,81355
new york,warren,Hillary Clinton,democrat,13091,31408
new york,warren,Donald Trump,republican,15751,31408
new york,warren,Other,NA,2566,31408
new york,washington,Hillary Clinton,democrat,9098,24528
new york,washington,Donald Trump,republican,13610,24528
new york,washington,Other,NA,1820,24528
new york,wayne,Hillary Clinton,democrat,13473,39687
new york,wayne,Donald Trump,republican,23380,39687
new york,wayne,Other,NA,2834,39687
new york,westchester,Hillary Clinton,democrat,272926,420655
new york,westchester,Donald Trump,republican,131238,420655
new york,westchester,Other,NA,16491,420655
new york,wyoming,Hillary Clinton,democrat,3904,17298
new york,wyoming,Donald Trump,republican,12442,17298
new york,wyoming,Other,NA,952,17298
new york,yates,Hillary Clinton,democrat,3659,10066
new york,yates,Donald Trump,republican,5660,10066
new york,yates,Other,NA,747,10066
north carolina,alamance,Hillary Clinton,democrat,29833,71157
north carolina,alamance,Donald Trump,republican,38815,71157
north carolina,alamance,Other,NA,2509,71157
north carolina,alexander,Hillary Clinton,democrat,3767,18271
north carolina,alexander,Donald Trump,republican,13893,18271
north carolina,alexander,Other,NA,611,18271
north carolina,alleghany,Hillary Clinton,democrat,1306,5315
north carolina,alleghany,Donald Trump,republican,3814,5315
north carolina,alleghany,Other,NA,195,5315
north carolina,anson,Hillary Clinton,democrat,5859,10545
north carolina,anson,Donald Trump,republican,4506,10545
north carolina,anson,Other,NA,180,10545
north carolina,ashe,Hillary Clinton,democrat,3500,13424
north carolina,ashe,Donald Trump,republican,9412,13424
north carolina,ashe,Other,NA,512,13424
north carolina,avery,Hillary Clinton,democrat,1689,8249
north carolina,avery,Donald Trump,republican,6298,8249
north carolina,avery,Other,NA,262,8249
north carolina,beaufort,Hillary Clinton,democrat,8764,23938
north carolina,beaufort,Donald Trump,republican,14543,23938
north carolina,beaufort,Other,NA,631,23938
north carolina,bertie,Hillary Clinton,democrat,5778,9347
north carolina,bertie,Donald Trump,republican,3456,9347
north carolina,bertie,Other,NA,113,9347
north carolina,bladen,Hillary Clinton,democrat,7058,15897
north carolina,bladen,Donald Trump,republican,8550,15897
north carolina,bladen,Other,NA,289,15897
north carolina,brunswick,Hillary Clinton,democrat,23282,68351
north carolina,brunswick,Donald Trump,republican,42720,68351
north carolina,brunswick,Other,NA,2349,68351
north carolina,buncombe,Hillary Clinton,democrat,75452,138947
north carolina,buncombe,Donald Trump,republican,55716,138947
north carolina,buncombe,Other,NA,7779,138947
north carolina,burke,Hillary Clinton,democrat,11251,38920
north carolina,burke,Donald Trump,republican,26238,38920
north carolina,burke,Other,NA,1431,38920
north carolina,cabarrus,Hillary Clinton,democrat,35521,93289
north carolina,cabarrus,Donald Trump,republican,53819,93289
north carolina,cabarrus,Other,NA,3949,93289
north carolina,caldwell,Hillary Clinton,democrat,8425,36320
north carolina,caldwell,Donald Trump,republican,26621,36320
north carolina,caldwell,Other,NA,1274,36320
north carolina,camden,Hillary Clinton,democrat,1274,5006
north carolina,camden,Donald Trump,republican,3546,5006
north carolina,camden,Other,NA,186,5006
north carolina,carteret,Hillary Clinton,democrat,9939,37781
north carolina,carteret,Donald Trump,republican,26569,37781
north carolina,carteret,Other,NA,1273,37781
north carolina,caswell,Hillary Clinton,democrat,4792,11070
north carolina,caswell,Donald Trump,republican,6026,11070
north carolina,caswell,Other,NA,252,11070
north carolina,catawba,Hillary Clinton,democrat,21216,72351
north carolina,catawba,Donald Trump,republican,48324,72351
north carolina,catawba,Other,NA,2811,72351
north carolina,chatham,Hillary Clinton,democrat,21065,39849
north carolina,chatham,Donald Trump,republican,17105,39849
north carolina,chatham,Other,NA,1679,39849
north carolina,cherokee,Hillary Clinton,democrat,2860,14181
north carolina,cherokee,Donald Trump,republican,10844,14181
north carolina,cherokee,Other,NA,477,14181
north carolina,chowan,Hillary Clinton,democrat,2992,7228
north carolina,chowan,Donald Trump,republican,4014,7228
north carolina,chowan,Other,NA,222,7228
north carolina,clay,Hillary Clinton,democrat,1367,6010
north carolina,clay,Donald Trump,republican,4437,6010
north carolina,clay,Other,NA,206,6010
north carolina,cleveland,Hillary Clinton,democrat,14964,44673
north carolina,cleveland,Donald Trump,republican,28479,44673
north carolina,cleveland,Other,NA,1230,44673
north carolina,columbus,Hillary Clinton,democrat,9063,23732
north carolina,columbus,Donald Trump,republican,14272,23732
north carolina,columbus,Other,NA,397,23732
north carolina,craven,Hillary Clinton,democrat,17630,47001
north carolina,craven,Donald Trump,republican,27731,47001
north carolina,craven,Other,NA,1640,47001
north carolina,cumberland,Hillary Clinton,democrat,71605,127506
north carolina,cumberland,Donald Trump,republican,51265,127506
north carolina,cumberland,Other,NA,4636,127506
north carolina,currituck,Hillary Clinton,democrat,2913,12669
north carolina,currituck,Donald Trump,republican,9163,12669
north carolina,currituck,Other,NA,593,12669
north carolina,dare,Hillary Clinton,democrat,7222,19609
north carolina,dare,Donald Trump,republican,11460,19609
north carolina,dare,Other,NA,927,19609
north carolina,davidson,Hillary Clinton,democrat,18109,74856
north carolina,davidson,Donald Trump,republican,54317,74856
north carolina,davidson,Other,NA,2430,74856
north carolina,davie,Hillary Clinton,democrat,5270,21756
north carolina,davie,Donald Trump,republican,15602,21756
north carolina,davie,Other,NA,884,21756
north carolina,duplin,Hillary Clinton,democrat,8283,20856
north carolina,duplin,Donald Trump,republican,12217,20856
north carolina,duplin,Other,NA,356,20856
north carolina,durham,Hillary Clinton,democrat,121250,156134
north carolina,durham,Donald Trump,republican,28350,156134
north carolina,durham,Other,NA,6534,156134
north carolina,edgecombe,Hillary Clinton,democrat,16224,24886
north carolina,edgecombe,Donald Trump,republican,8261,24886
north carolina,edgecombe,Other,NA,401,24886
north carolina,forsyth,Hillary Clinton,democrat,94464,178312
north carolina,forsyth,Donald Trump,republican,75975,178312
north carolina,forsyth,Other,NA,7873,178312
north carolina,franklin,Hillary Clinton,democrat,12874,30368
north carolina,franklin,Donald Trump,republican,16368,30368
north carolina,franklin,Other,NA,1126,30368
north carolina,gaston,Hillary Clinton,democrat,31177,96431
north carolina,gaston,Donald Trump,republican,61798,96431
north carolina,gaston,Other,NA,3456,96431
north carolina,gates,Hillary Clinton,democrat,2385,5392
north carolina,gates,Donald Trump,republican,2874,5392
north carolina,gates,Other,NA,133,5392
north carolina,graham,Hillary Clinton,democrat,768,4168
north carolina,graham,Donald Trump,republican,3283,4168
north carolina,graham,Other,NA,117,4168
