state,county,candidate,party,candidate votes,total votes
alabama,sumter,Hillary Clinton,democrat,4746,6411
alabama,sumter,Donald Trump,republican,1581,6411
alabama,sumter,Other,NA,84,6411
alabama,talladega,Hillary Clinton,democrat,12121,33407
alabama,talladega,Donald Trump,republican,20614,33407
alabama,talladega,Other,NA,672,33407
alabama,tallapoosa,Hillary Clinton,democrat,5519,19486
alabama,tallapoosa,Donald Trump,republican,13594,19486
alabama,tallapoosa,Other,NA,373,19486
alabama,tuscaloosa,Hillary Clinton,democrat,31762,82700
alabama,tuscaloosa,Donald Trump,republican,47723,82700
alabama,tuscaloosa,Other,NA,3215,82700
alabama,walker,Hillary Clinton,democrat,4497,29472
alabama,walker,Donald Trump,republican,24266,29472
alabama,walker,Other,NA,709,29472
alabama,washington,Hillary Clinton,democrat,2374,8533
alabama,washington,Donald Trump,republican,6042,8533
alabama,washington,Other,NA,117,8533
alabama,wilcox,Hillary Clinton,democrat,4339,6118
alabama,wilcox,Donald Trump,republican,1737,6118
alabama,wilcox,Other,NA,42,6118
alabama,winston,Hillary Clinton,democrat,872,10313
alabama,winston,Donald Trump,republican,9228,10313
alabama,winston,Other,NA,213,10313
arizona,apache,Hillary Clinton,democrat,17083,27661
arizona,apache,Donald Trump,republican,8240,27661
arizona,apache,Other,NA,2338,27661
arizona,cochise,Hillary Clinton,democrat,17450,50015
arizona,cochise,Donald Trump,republican,28092,50015
arizona,cochise,Other,NA,4473,50015
arizona,coconino,Hillary Clinton,democrat,32404,59784
arizona,coconino,Donald Trump,republican,21108,59784
arizona,coconino,Other,NA,6272,59784
arizona,gila,Hillary Clinton,democrat,7003,36697
arizona,gila,Donald Trump,republican,14182,36697
arizona,gila,Other,NA,1127,36697
arizona,graham,Hillary Clinton,democrat,3301,20306
arizona,graham,Donald Trump,republican,8025,20306
arizona,graham,Other,NA,808,20306
arizona,greenlee,Hillary Clinton,democrat,1092,5192
arizona,greenlee,Donald Trump,republican,1892,5192
arizona,greenlee,Other,NA,286,5192
arizona,la paz,Hillary Clinton,democrat,1575,5951
arizona,la paz,Donald Trump,republican,4003,5951
arizona,la paz,Other,NA,373,5951
arizona,maricopa,Hillary Clinton,democrat,702907,1567834
arizona,maricopa,Donald Trump,republican,747361,1567834
