state,county,candidate,candidate votes,total votes
colorado,baca,Hillary Clinton,283,2153
colorado,bent,Hillary Clinton,590,1927
colorado,boulder,Hillary Clinton,132334,188142
colorado,broomfield,Hillary Clinton,19731,37689
colorado,chaffee,Hillary Clinton,4888,11250
colorado,cheyenne,Hillary Clinton,132,1102
colorado,clear creek,Hillary Clinton,2729,5866
colorado,conejos,Hillary Clinton,1771,4022
colorado,costilla,Hillary Clinton,1125,1848
colorado,crowley,Hillary Clinton,339,1527
colorado,custer,Hillary Clinton,797,3066
colorado,delta,Hillary Clinton,4087,16790
colorado,denver,Hillary Clinton,244551,331852
colorado,dolores,Hillary Clinton,242,1255
colorado,douglas,Hillary Clinton,68657,187499
colorado,eagle,Hillary Clinton,14099,25223
colorado,elbert,Hillary Clinton,3134,15978
colorado,el paso,Hillary Clinton,108010,318967
colorado,fremont,Hillary Clinton,5297,21973
colorado,garfield,Hillary Clinton,11271,26470
colorado,gilpin,Hillary Clinton,1634,3576
colorado,grand,Hillary Clinton,3358,8588
colorado,gunnison,Hillary Clinton,5128,9412
colorado,hinsdale,Hillary Clinton,197,589
colorado,huerfano,Hillary Clinton,1633,3783
colorado,jackson,Hillary Clinton,171,861
colorado,jefferson,Hillary Clinton,160776,328882
colorado,kiowa,Hillary Clinton,91,855
colorado,kit carson,Hillary Clinton,536,3702
colorado,lake,Hillary Clinton,1616,3199
colorado,la plata,Hillary Clinton,15525,31150
colorado,larimer,Hillary Clinton,93113,195980
colorado,las animas,Hillary Clinton,2650,6793
colorado,lincoln,Hillary Clinton,409,2436
colorado,logan,Hillary Clinton,1851,9722
colorado,mesa,Hillary Clinton,21729,77653
colorado,mineral,Hillary Clinton,237,652
colorado,moffat,Hillary Clinton,874,6525
colorado,montezuma,Hillary Clinton,3973,12858
colorado,montrose,Hillary Clinton,5466,21186
colorado,morgan,Hillary Clinton,3151,11960
colorado,otero,Hillary Clinton,2943,8452
colorado,ouray,Hillary Clinton,1697,3310
colorado,park,Hillary Clinton,3421,10417
colorado,phillips,Hillary Clinton,436,2332
colorado,pitkin,Hillary Clinton,7333,10523
colorado,prowers,Hillary Clinton,1186,5016
colorado,pueblo,Hillary Clinton,35875,78646
colorado,rio blanco,Hillary Clinton,436,3450
colorado,rio grande,Hillary Clinton,2001,5534
colorado,routt,Hillary Clinton,7600,13986
colorado,saguache,Hillary Clinton,1417,2835
colorado,san juan,Hillary Clinton,265,506
colorado,san miguel,Hillary Clinton,2975,4329
colorado,sedgwick,Hillary Clinton,267,1364
colorado,summit,Hillary Clinton,9557,16174
colorado,teller,Hillary Clinton,3603,14444
colorado,washington,Hillary Clinton,296,2733
colorado,weld,Hillary Clinton,46519,135428
colorado,yuma,Hillary Clinton,726,4791
connecticut,fairfield,Hillary Clinton,243852,421209
connecticut,hartford,Hillary Clinton,240403,406864
connecticut,litchfield,Hillary Clinton,39775,97442
connecticut,middlesex,Hillary Clinton,45357,88624
connecticut,new haven,Hillary Clinton,205609,379006
connecticut,new london,Hillary Clinton,62278,123528
connecticut,tolland,Hillary Clinton,38506,77424
connecticut,windham,Hillary Clinton,21792,50823
delaware,kent,Hillary Clinton,33351,74598
delaware,new castle,Hillary Clinton,162919,262391
delaware,sussex,Hillary Clinton,39333,106008
district of columbia,district of columbia,Hillary Clinton,282830,311268
florida,alachua,Hillary Clinton,75820,128571
florida,baker,Hillary Clinton,2112,12634
florida,bay,Hillary Clinton,21797,87453
florida,bradford,Hillary Clinton,2924,12098
florida,brevard,Hillary Clinton,119679,314752
florida,broward,Hillary Clinton,553320,831951
florida,calhoun,Hillary Clinton,1241,6081
florida,charlotte,Hillary Clinton,33445,96374
florida,citrus,Hillary Clinton,22789,79700
florida,clay,Hillary Clinton,27822,106483
florida,collier,Hillary Clinton,61085,170789
florida,columbia,Hillary Clinton,7601,28707
florida,desoto,Hillary Clinton,3781,10818
florida,dixie,Hillary Clinton,1270,7202
florida,duval,Hillary Clinton,205704,432695
florida,escambia,Hillary Clinton,57461,152469
florida,flagler,Hillary Clinton,22026,57503
florida,franklin,Hillary Clinton,1744,6015
florida,gadsden,Hillary Clinton,15020,22113
florida,gilchrist,Hillary Clinton,1458,8420
florida,glades,Hillary Clinton,1271,4353
florida,gulf,Hillary Clinton,1720,7293
florida,hamilton,Hillary Clinton,1904,5460
florida,hardee,Hillary Clinton,2149,7583
florida,hendry,Hillary Clinton,4615,11115
florida,hernando,Hillary Clinton,31795,93796
florida,highlands,Hillary Clinton,14937,45686
florida,hillsborough,Hillary Clinton,307896,597660
florida,holmes,Hillary Clinton,853,8514
florida,indian river,Hillary Clinton,29043,80009
florida,jackson,Hillary Clinton,6397,21041
florida,jefferson,Hillary Clinton,3541,7645
florida,lafayette,Hillary Clinton,518,3392
florida,lake,Hillary Clinton,62838,170462
florida,lee,Hillary Clinton,124908,326420
florida,leon,Hillary Clinton,92068,152132
florida,levy,Hillary Clinton,5101,19395
florida,liberty,Hillary Clinton,651,3296
florida,madison,Hillary Clinton,3526,8505
florida,manatee,Hillary Clinton,71224,178958
florida,marion,Hillary Clinton,62041,174700
florida,martin,Hillary Clinton,30185,85792
florida,miami-dade,Hillary Clinton,624146,980204
florida,monroe,Hillary Clinton,18971,42478
florida,nassau,Hillary Clinton,10869,46607
florida,okaloosa,Hillary Clinton,23780,100855
florida,okeechobee,Hillary Clinton,3959,13653
florida,orange,Hillary Clinton,329894,546275
florida,osceola,Hillary Clinton,85458,140206
florida,palm beach,Hillary Clinton,374673,662332
florida,pasco,Hillary Clinton,90142,241139
florida,pinellas,Hillary Clinton,233701,492403
florida,polk,Hillary Clinton,117433,284314
florida,putnam,Hillary Clinton,10094,33117
florida,st. johns,Hillary Clinton,43099,136514
florida,st. lucie,Hillary Clinton,66881,140847
florida,santa rosa,Hillary Clinton,18464,87745
florida,sarasota,Hillary Clinton,97870,229063
florida,seminole,Hillary Clinton,105914,224896
florida,sumter,Hillary Clinton,22638,76665
florida,suwannee,Hillary Clinton,3964,18694
florida,taylor,Hillary Clinton,2152,9290
florida,union,Hillary Clinton,1014,5694
florida,volusia,Hillary Clinton,109091,260869
florida,wakulla,Hillary Clinton,4348,15351
florida,walton,Hillary Clinton,6876,33637
florida,washington,Hillary Clinton,2264,11156
georgia,appling,Hillary Clinton,1434,7012
georgia,atkinson,Hillary Clinton,697,2610
georgia,bacon,Hillary Clinton,608,4020
georgia,baker,Hillary Clinton,650,1440
georgia,baldwin,Hillary Clinton,7970,16116
georgia,banks,Hillary Clinton,684,6975
georgia,barrow,Hillary Clinton,6580,29060
georgia,bartow,Hillary Clinton,8212,39550
georgia,ben hill,Hillary Clinton,2101,5936
georgia,berrien,Hillary Clinton,1047,6590
georgia,bibb,Hillary Clinton,36787,62596
georgia,bleckley,Hillary Clinton,1101,4974
georgia,brantley,Hillary Clinton,619,6301
georgia,brooks,Hillary Clinton,2528,6336
georgia,bryan,Hillary Clinton,4014,15173
georgia,bulloch,Hillary Clinton,9261,25316
georgia,burke,Hillary Clinton,4731,9351
georgia,butts,Hillary Clinton,2566,9514
georgia,calhoun,Hillary Clinton,1179,2025
georgia,camden,Hillary Clinton,5930,18901
georgia,candler,Hillary Clinton,1026,3763
georgia,carroll,Hillary Clinton,12464,44121
georgia,catoosa,Hillary Clinton,4771,26757
georgia,charlton,Hillary Clinton,1004,4016
georgia,chatham,Hillary Clinton,62290,112142
georgia,chattahoochee,Hillary Clinton,594,1390
georgia,chattooga,Hillary Clinton,1613,8252
georgia,cherokee,Hillary Clinton,25231,112043
georgia,clarke,Hillary Clinton,29603,44976
georgia,clay,Hillary Clinton,697,1273
georgia,clayton,Hillary Clinton,78220,92859
georgia,clinch,Hillary Clinton,686,2455
georgia,cobb,Hillary Clinton,160121,330819
georgia,coffee,Hillary Clinton,4094,13915
georgia,colquitt,Hillary Clinton,3463,13624
georgia,columbia,Hillary Clinton,18887,64743
georgia,cook,Hillary Clinton,1753,6057
georgia,coweta,Hillary Clinton,16583,61745
georgia,crawford,Hillary Clinton,1421,5176
georgia,crisp,Hillary Clinton,2837,7512
georgia,dade,Hillary Clinton,965,6242
georgia,dawson,Hillary Clinton,1448,11765
georgia,decatur,Hillary Clinton,4124,10286
georgia,dekalb,Hillary Clinton,251370,314757
georgia,dodge,Hillary Clinton,1839,7009
georgia,dooly,Hillary Clinton,1872,3859
georgia,dougherty,Hillary Clinton,23311,34087
georgia,douglas,Hillary Clinton,31005,57738
georgia,early,Hillary Clinton,2168,4785
georgia,echols,Hillary Clinton,156,1182
georgia,effingham,Hillary Clinton,4853,23458
georgia,elbert,Hillary Clinton,2539,7987
georgia,emanuel,Hillary Clinton,2435,7860
georgia,evans,Hillary Clinton,1130,3613
georgia,fannin,Hillary Clinton,1923,11812
georgia,fayette,Hillary Clinton,23284,60913
georgia,floyd,Hillary Clinton,9159,34608
georgia,forsyth,Hillary Clinton,23462,98221
georgia,franklin,Hillary Clinton,1243,8502
georgia,fulton,Hillary Clinton,297051,431391
georgia,gilmer,Hillary Clinton,1965,12773
georgia,glascock,Hillary Clinton,138,1390
georgia,glynn,Hillary Clinton,11775,34263
georgia,gordon,Hillary Clinton,3181,18959
georgia,grady,Hillary Clinton,3013,9213
georgia,greene,Hillary Clinton,3199,8852
georgia,gwinnett,Hillary Clinton,166153,328331
georgia,habersham,Hillary Clinton,2483,16243
georgia,hall,Hillary Clinton,16180,70694
georgia,hancock,Hillary Clinton,2701,3580
georgia,haralson,Hillary Clinton,1475,11357
georgia,harris,Hillary Clinton,4086,16502
georgia,hart,Hillary Clinton,2585,10117
georgia,heard,Hillary Clinton,743,4223
georgia,henry,Hillary Clinton,50057,98766
georgia,houston,Hillary Clinton,22553,60079
georgia,irwin,Hillary Clinton,891,3670
georgia,jackson,Hillary Clinton,4491,27190
georgia,jasper,Hillary Clinton,1544,6045
georgia,jeff davis,Hillary Clinton,901,5096
georgia,jefferson,Hillary Clinton,3821,6968
