County,Margin,2016 margin,Est. votes reported,Total votes,Absentee
Frio,Trump +8,D+13.4,100%,"5,279","3,707"
Karnes,Trump +52,R+43.4,100%,"5,249","3,669"
Camp,Trump +44,R+42.7,100%,"5,060","4,299"
Live Oak,Trump +67,R+63.3,100%,"5,054","3,438"
Duval,Biden +3,D+35.2,100%,"5,053","5,050"
Franklin,Trump +67,R+66.7,100%,"5,009","3,938"
Somervell,Trump +67,R+68.4,100%,"4,947","4,271"
Marion,Trump +44,R+42.9,100%,"4,864","3,723"
Brewster,Trump +4,R+4.8,100%,"4,822","3,978"
Archer,Trump +80,R+79.2,100%,"4,796","3,623"
Pecos,Trump +39,R+21.8,100%,"4,668","3,869"
Deaf Smith,Trump +44,R+40.9,100%,"4,610","3,634"
Wilbarger,Trump +57,R+57.4,100%,"4,524","3,739"
Runnels,Trump +74,R+74,100%,"4,409","3,082"
Lamb,Trump +61,R+58.6,100%,"4,408","3,094"
Zavala,Biden +31,D+57.2,100%,"4,379","2,968"
Hamilton,Trump +68,R+71.3,100%,"4,349","3,303"
Coleman,Trump +77,R+76.6,100%,"4,124","3,549"
Ward,Trump +61,R+51.2,100%,"4,060","3,108"
San Augustine,Trump +51,R+48,100%,"4,002","2,931"
Goliad,Trump +55,R+44.4,100%,"3,988","2,901"
Zapata,Trump +5,D+32.9,100%,"3,874","2,438"
Stephens,Trump +79,R+77.4,100%,"3,800","3,017"
Dawson,Trump +57,R+50.5,100%,"3,789","2,918"
Jack,Trump +82,R+79.4,100%,"3,782","2,941"
Reeves,Trump +23,D+7.6,100%,"3,687","2,737"
Dimmit,Biden +24,D+37.2,100%,"3,666","2,455"
Terry,Trump +57,R+50.8,100%,"3,612","2,879"
McCulloch,Trump +70,R+66.7,100%,"3,436","2,668"
Refugio,Trump +33,R+27,100%,"3,366","2,532"
Ochiltree,Trump +80,R+78.4,100%,"3,156","2,243"
Carson,Trump +80,R+80,100%,"3,122","1,936"
Parmer,Trump +62,R+58,100%,"2,650","1,316"
Yoakum,Trump +67,R+59.5,100%,"2,631","2,132"
San Saba,Trump +78,R+73.5,100%,"2,602","1,870"
Delta,Trump +68,R+63,100%,"2,592","1,829"
Mitchell,Trump +69,R+64.9,100%,"2,579","1,893"
Mills,Trump +78,R+76.1,100%,"2,505","1,949"
Brooks,Biden +19,D+51,100%,"2,484","1,821"
La Salle,Trump +12,D+12.5,100%,"2,406","1,613"
Swisher,Trump +58,R+54.9,100%,"2,355","1,759"
Wheeler,Trump +85,R+82.1,100%,"2,337","1,643"
Lynn,Trump +62,R+56.9,100%,"2,293","2,293"
Kimble,Trump +74,R+76.4,100%,"2,292","1,806"
Childress,Trump +72,R+74.3,100%,"2,279","1,785"
Presidio,Biden +33,D+36.5,100%,"2,217","1,806"
Haskell,Trump +67,R+61.5,100%,"2,214","1,374"
Martin,Trump +73,R+67.5,100%,"2,160","1,710"
Winkler,Trump +66,R+52.4,100%,"2,126","1,469"
Castro,Trump +55,R+44.5,100%,"2,083","1,106"
Hartley,Trump +81,R+79.8,100%,"2,078","1,622"
Hansford,Trump +82,R+80.1,100%,"2,047","1,364"
Floyd,Trump +56,R+53,100%,"2,039","1,663"
Jim Hogg,Biden +18,D+56.9,100%,"2,036","1,444"
Real,Trump +67,R+66.6,100%,"1,982","1,638"
Crosby,Trump +44,R+41.3,100%,"1,953","1,221"
Bailey,Trump +55,R+52.8,100%,"1,860","1,284"
Fisher,Trump +60,R+49.9,100%,"1,826","1,304"
Coke,Trump +79,R+79.1,100%,"1,779","1,245"
Hemphill,Trump +74,R+75.2,100%,"1,720","1,175"
Baylor,Trump +77,R+71.8,100%,"1,702","1,376"
Garza,Trump +72,R+67,100%,"1,653","1,235"
Donley,Trump +75,R+70.6,100%,"1,648","1,158"
Shackelford,Trump +83,R+84.8,100%,"1,628","1,250"
Dallam,Trump +74,R+67.3,100%,"1,609","1,029"
Kinney,Trump +44,R+33.4,100%,"1,603","1,327"
Hardeman,Trump +69,R+63.3,100%,"1,580","1,014"
Crockett,Trump +56,R+43.6,100%,"1,574","1,212"
Sutton,Trump +58,R+53.8,100%,"1,557","1,333"
Crane,Trump +67,R+54.2,100%,"1,503","1,086"
Knox,Trump +63,R+60.8,100%,"1,456",772
Upton,Trump +74,R+53.5,100%,"1,368","1,063"
Lipscomb,Trump +79,R+76.9,100%,"1,353",568
Jeff Davis,Trump +22,R+22.9,100%,"1,305","1,039"
Concho,Trump +68,R+69,100%,"1,268",783
Collingsworth,Trump +73,R+72.5,100%,"1,218",845
Hall,Trump +71,R+66.8,100%,"1,168",807
Hudspeth,Trump +35,R+20.6,100%,"1,165",591
Schleicher,Trump +63,R+57.9,100%,"1,159",909
Reagan,Trump +69,R+60,100%,"1,124",902
Armstrong,Trump +86,R+83.6,100%,"1,112",846
Edwards,Trump +68,R+41.3,100%,"1,066",773
Menard,Trump +61,R+61.1,100%,"1,028",798
Oldham,Trump +83,R+81,100%,"1,009",623
Cochran,Trump +63,R+54.3,100%,"1,000",676
Sherman,Trump +80,R+76,100%,991,684
Dickens,Trump +73,R+69,100%,988,676
Throckmorton,Trump +81,R+78.1,100%,899,543
Irion,Trump +72,R+74.4,100%,889,670
Culberson,Biden +3,D+22.7,100%,864,558
Stonewall,Trump +68,R+59.9,100%,736,736
Briscoe,Trump +77,R+72.6,100%,725,453
