Features,IDs
"[1, 1, 1, 1, 1, 1, 1, 1, 23.432999999999996, 2.5246, 15.1083, 0, 0, 16.2624, 6.996499999999999, 2.9723, 0, 13.7199, 14.554199999999998, 2.9934000000000003, 0, 0, 0, 0, 0, 0.9796, 0, 2.9863, 12.379100000000001, 0.5338, 0, 0, 0, 2, 4, 2, 2, 2, 5, 2, 0, 1, 1, 0, 1, 1, 0, 0]",81129764698
"[1, 1, 1, 1, 1, 1, 1, 1, 16.9409, 0.8328, 14.112, 0, 0, 1.7609, 0.5274, 0, 0, 0, 1.8926, 0, 0, 0, 0, 0, 0, 0, 0, 8.107899999999999, 12.7059, 0, 0, 0, 0, 0, 4, 1, 0, 3, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0]",1410344262603136
"[1, 1, 1, 1, 1, 1, 1, 1, 16.2238, 0, 15.275399999999998, 0, 0, 2.7954, 1.7048, 0, 0, 0, 2.8857, 0.9929, 0, 0, 0, 0, 0, 0, 0, 10.328, 11.8113, 0, 0, 0, 0, 0, 3, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",1410344262603136
"[1, 1, 1, 1, 1, 1, 1, 1, 16.506999999999998, 0, 18.6938, 0, 0, 2.8670999999999998, 0, 0, 0, 0, 2.888, 0.9929, 0, 0, 0, 0, 0, 0, 0, 10.096499999999999, 12.795399999999999, 0, 0, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",1410344262603136
"[1, 1, 1, 1, 1, 1, 1, 1, 30.0043, 0, 20.189199999999996, 0, 0, 10.962800000000001, 3.7544000000000004, 0, 0, 4.876799999999999, 10.8491, 0.9986, 0, 0, 0, 0, 0, 0, 0, 12.418800000000001, 21.6751, 0.5158, 0, 0, 0, 1, 4, 0, 0, 2, 2, 0, 0, 1, 0, 0, 1, 0, 0, 1]",1410344262603136
"[1, 1, 1, 1, 1, 1, 1, 1, 10.2496, 0, 16.9919, 0, 0, 2.0625999999999998, 0.4604, 0, 0, 1.8897, 1.8926, 1.5933, 0, 0, 0, 0, 0, 0, 0, 6.785, 15.7379, 0, 0, 0, 0, 1, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",1410344262603136
"[1, 1, 1, 1, 1, 1, 1, 1, 15.642799999999998, 0, 11.552600000000002, 0, 0, 0.7167, 1.0577999999999999, 0, 0, 0, 1.9956, 0.9903, 0, 0, 0, 0, 0, 0, 0, 6.5683, 11.7295, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0]",1410344262603136
"[1, 0, 0, 1, 1, 1, 1, 1, 12.0248, 0, 10.418199999999999, 0, 0, 11.332799999999999, 2.9075, 0.9964, 0, 6.9051, 9.8897, 1.9881, 1.8666, 0, 0, 0, 0, 0.9686, 0, 3.673, 5.904400000000001, 0, 0, 0, 0, 3, 5, 0, 0, 0, 2, 0, 0, 1, 0, 0, 1, 0, 0, 1]",118761236085
"[1, 1, 1, 1, 1, 1, 1, 1, 9.434400000000002, 0, 0, 0, 0, 7.334200000000001, 1.8871, 0, 0, 2.9879, 1.9836, 0.9957, 0, 0, 0, 0, 0, 0, 0, 0, 2.9459, 0, 0, 0, 0, 1, 1, 0, 2, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1]",930840483641054
"[1, 0, 0, 1, 1, 1, 1, 1, 7.6072999999999995, 0, 2.7055, 0, 0, 4.3107, 1.7856999999999998, 0, 0, 1.9796, 4.7665, 0, 0, 0, 0, 0, 0, 0, 0, 1.916, 1.9931999999999999, 0, 0, 0, 0, 1, 3, 0, 1, 1, 5, 1, 0, 1, 0, 0, 1, 0, 0, 0]",930840483641054
"[1, 1, 0, 1, 1, 1, 1, 1, 9.918899999999999, 0, 3.2755, 0, 0, 4.6080000000000005, 2.194, 1.8112, 0, 1.9982, 4.5920000000000005, 0.998, 0, 0, 0.4162, 0, 0, 0, 0, 0.6547, 3.9915000000000003, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0]",930840483641054
"[1, 1, 1, 1, 1, 1, 1, 1, 13.149999999999999, 0, 3.8510999999999997, 0, 0.6561, 5.6865000000000006, 2.8546, 0, 0, 6.954300000000001, 8.9171, 2.9928999999999997, 0, 0, 0, 0, 0, 0.9898, 0, 0, 2.908, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0]",183470401805835
"[1, 1, 1, 1, 1, 1, 1, 1, 10.270999999999999, 0.9947, 4.1532, 0, 0, 10.326, 1.8841, 1.7132, 0, 4.924600000000001, 6.8533, 0, 0, 0, 0, 0, 0, 0, 0, 4.5072, 6.940300000000001, 0, 0, 0, 0, 1, 5, 0, 1, 0, 4, 0, 0, 1, 0, 0, 1, 0, 0, 1]",183470401805835
"[1, 1, 1, 1, 1, 1, 1, 1, 12.730899999999998, 0, 2.5757, 0, 1.5029, 5.7845, 2.8588, 0, 0, 4.9306, 7.911300000000001, 0.9978, 0, 0, 0, 0, 0, 0, 0, 2.4545, 4.9752, 0, 0, 0, 0, 1, 3, 0, 1, 2, 2, 1, 0, 1, 1, 0, 1, 0, 0, 0]",183470401805835
"[1, 0, 0, 1, 1, 1, 1, 1, 5.4729, 0, 1.4065, 0, 0, 2.3608000000000002, 2.2014, 0.9818, 0, 1.9701, 1.9433, 2.9794, 0, 0, 0, 0, 0, 0, 0, 1.9478, 5.9871, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0]",1439832732989630
"[1, 0, 0, 1, 1, 1, 1, 1, 3.4084000000000003, 0.9997, 3.6828, 0, 0, 5.8879, 0.4896, 0.9987, 0, 1.9889999999999999, 6.9234, 0, 0, 0, 0, 0, 0, 0, 0, 1.2521, 1.9939, 0, 0, 0, 0, 1, 2, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1]",1376693739023048
"[1, 1, 1, 1, 1, 1, 1, 0, 40.67529999999999, 0, 34.5187, 0, 0, 13.3696, 5.404100000000001, 1.156, 0, 15.697, 28.695400000000003, 8.9189, 0, 0, 0, 0, 0, 0, 0, 14.524600000000001, 27.621999999999996, 0.6268, 0, 0, 0, 2, 13, 3, 1, 1, 7, 4, 1, 1, 1, 0, 1, 1, 0, 0]",185727965127331
"[1, 0, 0, 1, 1, 1, 1, 1, 1.7606, 1.982, 4.1276, 0, 0.9011, 5.0241, 2.6408, 3.9695, 0, 1.9943, 4.8682, 0, 0, 0, 0, 0, 0, 0.9979, 0, 0.9196, 4.8454, 0.2124, 0, 0, 0, 2, 2, 0, 2, 2, 2, 2, 0, 1, 1, 0, 1, 0, 1, 1]",288359155374
"[1, 1, 1, 1, 1, 1, 1, 1, 9.499199999999998, 0, 4.393800000000001, 0, 0, 5.3634, 2.3365, 2.2512, 0, 0, 3.9871999999999996, 0.9933, 0, 0, 0, 0, 0, 0.8919, 0, 0.664, 2.9853, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1]",288359155374
"[1, 1, 0, 1, 1, 1, 1, 1, 15.339300000000001, 0.9996, 6.0786999999999995, 0, 0.8527, 17.538, 5.1369, 0.9919, 0, 5.8904000000000005, 10.551100000000002, 2.995, 0, 0, 0, 0, 0, 0.9865, 0, 0.9674, 7.9807999999999995, 0, 0, 0, 0, 2, 2, 1, 1, 1, 2, 1, 0, 1, 1, 0, 1, 0, 1, 1]",288359155374
"[1, 1, 0, 1, 1, 1, 1, 1, 19.355500000000003, 7.677900000000001, 7.574, 0, 0.3788, 23.356000000000005, 6.5701, 0.994, 0, 10.642800000000001, 19.390399999999996, 2.9824, 0.9609, 0, 0, 0, 0, 0.9458, 0, 2.5939, 8.978, 0, 0, 0, 0, 4, 4, 2, 2, 1, 5, 2, 0, 1, 1, 0, 1, 0, 0, 0]",288359155374
"[1, 1, 1, 1, 1, 1, 1, 1, 15.2803, 5.9207, 6.9051, 0, 0, 20.823300000000003, 7.0037, 8.913899999999998, 0, 6.903, 15.716199999999999, 3.9889, 0, 0, 0, 0, 0, 0.9977, 0, 1.6434, 12.625100000000002, 0, 2.9536, 0, 0, 5, 5, 2, 5, 5, 7, 5, 0, 1, 1, 1, 1, 1, 0, 1]",288359155374
"[1, 1, 1, 1, 1, 1, 1, 1, 6.5443999999999996, 0, 18.825400000000002, 0, 0, 3.3786, 0, 0.6798, 0, 0, 3.9582, 1.9978, 0, 0, 0, 0, 0, 0, 0, 0, 3.9862, 0, 0, 0, 0, 2, 2, 2, 2, 4, 4, 4, 0, 0, 0, 0, 1, 0, 0, 0]",288359155374
"[1, 0, 0, 1, 1, 1, 1, 0, 10.4545, 0, 6.8576, 0, 0, 3.4552, 0.571, 0, 0, 0.9893, 2.9276999999999997, 1.9969000000000001, 0, 0.8844, 0.894, 0, 0, 0.9515, 0, 0, 4.924799999999999, 0.8476, 0, 0, 0, 1, 3, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 0, 0]",243296005366
"[1, 1, 0, 1, 1, 1, 1, 1, 21.831599999999998, 2.9986, 11.969100000000001, 0, 0, 13.3326, 1.7132, 0.8936, 0, 5.7854, 9.958300000000001, 0.9988, 0, 0, 0, 0, 0, 0, 0, 6.3027999999999995, 16.5268, 0, 0, 0, 0, 2, 3, 2, 1, 1, 3, 0, 1, 1, 1, 1, 1, 0, 0, 0]",190161684398788
"[1, 1, 0, 1, 1, 1, 1, 1, 9.3003, 2.9538, 5.5577, 0, 0, 9.4399, 1.9144999999999999, 3.9548, 0, 2.8606, 11.8305, 0.8362, 0, 0, 0, 0, 0, 0.9926, 0, 2.9868, 7.888999999999999, 0, 0.972, 0, 0, 2, 3, 1, 2, 2, 5, 2, 0, 1, 1, 0, 1, 1, 0, 1]",124403404301537
"[1, 0, 0, 1, 1, 0, 0, 0, 2.6436, 0, 0.4673, 0, 0, 2.6079, 0, 0, 0, 0, 0.9995, 0.9972, 0.8938, 0, 0, 0, 0, 0, 0, 0, 0.9969, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]",159732996234
"[1, 1, 1, 1, 1, 1, 1, 1, 18.630800000000004, 0.6655, 6.0458, 0, 0, 15.267100000000001, 11.349400000000001, 0.9735, 0, 5.7967, 11.687399999999998, 0.9974, 0, 0, 0, 0, 0, 0, 0, 0, 6.620299999999999, 0.4157, 0, 0, 0, 1, 4, 0, 0, 0, 2, 0, 0, 1, 0, 0, 1, 0, 0, 1]",349256461824404
