Features,IDs
"[1, 1, 0, 1, 1, 1, 1, 1, 9.268700000000003, 0, 3.774, 0, 0, 4.6042000000000005, 1.9698, 0.998, 0.5689, 5.5844, 5.9578, 0, 0, 0, 0, 0, 0, 0.996, 0, 1.9982, 5.7751, 0, 0, 0, 0, 1, 3, 0, 1, 1, 2, 1, 0, 1, 0, 0, 1, 1, 1, 0]",408282242636625
"[1, 1, 1, 1, 1, 1, 1, 1, 36.5688, 0, 4.8752, 0, 0, 13.877000000000002, 5.912400000000001, 0, 0, 20.7222, 12.4243, 1.9994, 0, 0, 0, 0, 0, 0.9969, 0, 0, 17.8821, 0, 0, 0, 0, 13, 9, 4, 3, 1, 12, 6, 0, 1, 1, 0, 1, 1, 0, 1]",1680158918899563
"[1, 1, 1, 1, 1, 1, 1, 1, 16.718800000000005, 2.9678999999999998, 13.792899999999998, 0, 0, 10.9578, 4.2658, 0, 0, 5.545700000000001, 13.375800000000002, 0.9984, 0, 0.5342, 0, 0, 0, 0, 0, 0, 7.718500000000001, 0, 0, 0, 0, 2, 9, 3, 1, 1, 2, 3, 2, 1, 1, 0, 1, 0, 0, 0]",1680158918899563
"[1, 1, 1, 1, 1, 1, 1, 1, 0.9827, 0, 4.8819, 0, 0, 2.3034, 0, 0, 0, 1.9949, 1.6461000000000001, 0, 0, 0, 0, 0, 0, 0.9959, 0, 0, 1.9738, 0, 0, 0, 0, 2, 9, 3, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1]",1680158918899563
"[1, 0, 0, 1, 1, 1, 1, 1, 8.1473, 0.9935, 5.4945, 0, 0.958, 1.8232, 3.6175, 1.9676, 0, 2.9976, 3.967, 0.9975, 0, 0, 0, 0, 0, 0, 0, 0.962, 3.4842, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 2, 0, 0, 1, 0, 1, 0, 0, 0]",408282242636625
"[1, 1, 1, 1, 1, 1, 1, 1, 39.5365, 4.0213, 19.723400000000005, 0, 0, 21.726800000000004, 21.382, 7.2195, 0.3791, 26.580500000000004, 26.419900000000005, 8.9682, 0, 0, 0, 0, 0, 0.9918, 0, 8.7571, 28.475700000000003, 0.8947, 2.9581999999999997, 0, 0, 1, 4, 0, 1, 0, 2, 0, 1, 1, 0, 0, 1, 0, 0, 0]",52850385745
"[1, 1, 1, 1, 1, 1, 1, 0, 15.164599999999998, 10.7056, 0.9972, 0, 0.8145, 27.720900000000004, 9.721499999999999, 14.4588, 0.4743, 8.5449, 11.828800000000001, 4.9928, 0.9744, 0, 0.9691, 0, 0, 0, 0, 0, 19.854100000000003, 0, 0, 0, 0, 2, 4, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1, 0, 0, 0]",1680158918899563
"[1, 1, 1, 1, 1, 1, 0, 1, 0, 0.9954, 2.6816, 0, 0, 3.9166, 0, 0, 0, 0, 1.9767000000000001, 0, 0.9444, 0, 0, 0, 0, 0, 0, 0, 1.9882, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0]",1523494334543575
"[1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0.6388, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0]",113523748745557
"[1, 1, 1, 1, 1, 1, 1, 1, 7.7237, 0.998, 4.3368, 0, 0, 5.7043, 0, 0, 0, 0.9954, 5.8361, 1.9958, 0, 0, 0, 0, 0, 0, 0, 0.9873, 1.9969999999999999, 0, 0, 0, 0, 1, 4, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0]",408282242636625
"[1, 1, 1, 1, 1, 1, 1, 1, 8.616399999999999, 0.9852, 1.9904000000000002, 0, 0, 5.8145, 4.8216, 0, 0, 5.927300000000001, 3.983, 0.9962, 0, 0, 0, 0, 0, 0, 0, 0.9438, 1.9967000000000001, 0, 1.9097, 0, 0, 4, 2, 0, 3, 1, 4, 1, 0, 1, 1, 0, 1, 0, 0, 0]",113523748745557
"[1, 0, 0, 1, 1, 1, 1, 1, 0.9304, 0, 0.993, 0, 0, 0, 0.7283, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",113523748745557
"[1, 1, 0, 1, 1, 1, 1, 0, 9.6325, 1.9938, 3.2006, 0, 0, 7.8975, 0.96, 0.9937, 0, 3.9756, 11.020500000000002, 0.9947, 0, 0, 0, 0, 0, 0, 0, 9.7385, 2.963, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0]",113523748745557
"[1, 0, 0, 1, 1, 1, 1, 1, 7.4065, 5.974600000000001, 4.2229, 0, 0, 10.5234, 1.9154, 0, 0, 5.7940000000000005, 3.9779999999999998, 1.9944, 0.956, 0, 0, 0, 0, 0, 0, 0.9941, 5.979799999999999, 0, 0, 0, 0, 2, 2, 0, 3, 0, 2, 0, 0, 1, 0, 0, 1, 0, 1, 1]",408282242636625
"[1, 1, 0, 1, 1, 1, 1, 1, 15.4689, 0, 4.458200000000001, 0, 0, 11.821399999999999, 0.9871, 3.9400999999999997, 0, 9.7273, 9.831900000000001, 1.9963, 0, 1.5741999999999998, 0, 0, 0, 0, 0, 3.407, 4.9878, 0, 0, 0, 0, 2, 3, 0, 2, 2, 3, 2, 0, 1, 1, 0, 1, 0, 1, 0]",408282242636625
"[1, 0, 0, 1, 1, 1, 1, 1, 2.4307, 0.9971, 1.3305, 0, 0, 1.7370999999999999, 1.0, 0.9964, 0, 0.9978, 0.9988, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0]",113523748745557
"[1, 0, 0, 1, 1, 1, 1, 1, 12.514400000000002, 1.7428, 3.9192, 0, 0, 9.5658, 3.7007999999999996, 0, 0, 2.9702, 9.804199999999998, 0, 0, 0, 9.8709, 0.994, 0, 0, 0, 0.7276, 2.9864, 0, 0.9821, 0, 0, 4, 4, 1, 3, 3, 5, 3, 0, 1, 1, 1, 1, 0, 0, 0]",113523748745557
"[1, 1, 1, 1, 1, 1, 1, 1, 42.5088, 1.8574, 4.8617, 0, 0, 19.887400000000003, 12.6394, 3.5865, 0.9623, 12.628799999999998, 20.040200000000006, 3.9592, 1.6933, 0, 0, 0, 0, 0, 0, 1.9691, 10.715199999999998, 0, 1.7911000000000001, 0, 0, 1, 9, 1, 1, 1, 5, 1, 0, 1, 1, 0, 1, 0, 1, 0]",408282242636625
"[1, 1, 1, 1, 1, 1, 1, 1, 15.550699999999999, 3.8519000000000005, 14.383400000000002, 0, 0, 12.8551, 4.0879, 1.9832999999999998, 0, 6.9078, 11.471499999999999, 5.9329, 0, 0, 0, 0, 0, 0, 0, 1.8593000000000002, 4.9909, 0, 0, 0, 0, 2, 3, 3, 1, 0, 2, 1, 0, 1, 1, 0, 1, 0, 0, 0]",1680158918899563
"[1, 1, 1, 1, 1, 1, 1, 1, 9.6589, 5.6896, 2.9827, 0, 0, 8.433300000000001, 3.8301999999999996, 3.899, 0, 1.9926, 0.9888, 1.9948, 0, 0, 0, 0, 0, 0, 0, 0, 13.941699999999999, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0]",1680158918899563
"[1, 1, 1, 1, 1, 1, 1, 0, 18.925, 1.9948000000000001, 7.6388, 0, 0.7218, 24.209799999999998, 5.431699999999999, 1.6598000000000002, 0, 8.9166, 12.7181, 3.9906, 0, 1.2138, 0, 0, 0, 0, 0, 3.8121, 12.95, 0, 0.9971, 0, 0, 2, 2, 1, 0, 0, 4, 2, 0, 1, 0, 1, 1, 0, 0, 1]",1680158918899563
"[1, 1, 1, 1, 1, 1, 1, 1, 1.4946000000000002, 0, 4.4897, 0, 0, 2.2986, 0, 0, 0, 1.9949, 1.6461000000000001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.996, 0, 0, 0, 0, 2, 9, 3, 1, 1, 2, 2, 1, 1, 1, 1, 1, 0, 0, 1]",1680158918899563
"[1, 0, 0, 1, 1, 1, 1, 1, 5.9736, 0.996, 8.8373, 0, 0, 3.9877000000000002, 3.1456999999999997, 0.9643, 0, 1.9902000000000002, 3.9881, 0.9976, 0, 0, 0, 0, 0, 0, 0, 0, 4.9798, 0, 0.7772, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0]",1680158918899563
"[1, 1, 1, 1, 1, 1, 1, 1, 7.8561, 4.8964, 2.5324, 0, 0, 10.6531, 3.1406, 2.4867, 0, 5.9563999999999995, 11.946, 0, 0, 0.7701, 0, 0, 0, 0, 0, 1.9506000000000001, 4.9898, 0, 0, 0, 0, 1, 3, 0, 1, 1, 3, 1, 0, 1, 0, 0, 1, 0, 0, 1]",113523748745557
